name,latitude,longitude,discharge
ASHTA 2,42.011686,19.551942,273.103
Banja / Banjë,40.96,20.068,42.818
Bele 1/2,42.069036,20.460067,9.34
Bishnica 1/2,39.9169,20.1374,2.22
Bistrica 1,39.9116,20.1047,2.731
Cernaleve 1/2,42.029417,20.555553,1.591
Fangu,41.705833,19.770278,64.194
Fierza,42.2514,20.0431,203.843
Ftere 1,40.111192,19.877589,0.456
Holta,40.927281,20.220917,2.259
Koman,42.1033,19.8224,256.093
Lanabregas,41.3428,19.8964,0.521
Langarica 1/2/3,40.3098,20.476981,1.039
Lenie,40.766014,20.396044,0.395
Lura 1/3,41.814608,20.217969,0.825
Moglicë,40.693986,20.439501,21.73
Oresheke,42.028742,20.530764,8.476
Pobreg,42.085925,19.793253,0.834
Prelle,41.693808,20.013169,4.249
Qarrishta 1,41.219561,20.303833,2.065
Rajan 1/2,40.266536,20.521686,3.473
Shkalle,41.579025,20.121658,0.71
Shkopet,41.6796,19.8305,31.041
Sllabinje,40.968997,20.513372,3.529
Stravaj 2,41.0057,20.425,1.688
Topojan 1/2,41.987561,20.527939,0.962
Ulez,41.6796,19.8936,29.289
Vau i Dijes,42.0137,19.6359,0.723
Vlushe,40.506225,20.310079,1.904
Argel,40.3786,44.6069,25.048
Arzni,40.2968,44.5875,25.286
Harzdan,40.5078,44.7606,0.186
Qanaqer HPP,40.2226,44.5134,27.027
Sevan,40.5522,44.9513,15.05
Shamb,39.4743,46.1306,8.422
Spandaryan,39.6494,45.85,2.804
Tatev,39.3956,46.2578,9.865
Yerevan-1 HPP,40.191,44.484,27.027
Yerevan-3 HPP,40.1642,44.5009,27.385
Abwinden-Asten,48.248,14.4305,1556.815
Altenmarkt,47.719444,14.672222,102.158
Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,48.374728,15.855343,1880.037
Annabrücke Annabruecke Hydroelectric Power Plant Austria - Annabruecke Hydroelectric Power Plant Austria,46.561407,14.479829,158.756
Arnstein,47.0167,15.1667,3.899
Aschach,48.3853,14.023,1412.409
Bischofshofen,47.407,13.2205,59.746
Bodendorf mur,47.107688,14.065071,29.966
Bodendorf paal,47.107717,14.065156,29.966
Braunau-Simbach,48.244,13.006,600.366
Brennerwerk-M1,47.126999,11.453,9.081
Bärenwerk,47.216667,12.816667,0.409
Böckstein,47.799406,13.04399,107.458
Bösdornau Boesdornau-KW - Boesdornau Hydroelectric Power Plant Austria,47.15192,11.833298,8.064
Debant_1-M1,48.257999,16.389999,1936.92
Dießbach,47.516667,12.833333,0.341
Dionysen,47.41,15.214,0.359
Dorferbach-KW,47.02,12.362,2.669
Edling Edling-KW - Edling Hydroelectric Power Plant Austria,46.628959,14.701371,203.387
Ering-Frauenstein,48.29207,13.158938,612.369
Feistritz-Ludmannsdorf,46.5347,14.1712,155.225
Feldkirchen,46.8638,13.3355,25.33
Feldsee Kraftwerk Feldsee - Feldsee Pumped Storage Power Plant Austria,46.998575,13.041873,0.653
Ferlach Maria Rain,46.5462,14.2985,155.433
Fisching,47.1743,14.723143,52.095
Friesach,47.186513,15.336014,112.384
Funsingau,47.2354,12.0583,0.999
Gabersdorf,46.7772,15.5842,131.544
Gaming,48.1766,16.4813,1940.494
Gamp,47.683333,13.1,87.87
"Garsten st, ulrich",48.018488,14.411714,0.127
Gemeinschaftskraftwerk inn,47.062954,10.662868,70.408
Gerlos,47.2342,11.8997,4.168
Gmuend-Speicher,47.932999,13.797,44.912
Gralla,46.828285,15.566222,130.221
Gratkorn,47.1333,15.35,114.578
