name,latitude,longitude,ndvi,discharge,ndwi,precipitation,slope_degrees,ndbi,mndwi,label
 Aguieira - G1 - Aguieira Hydroelectric Power Plant Portugal,40.340285,-8.196778,0.0667009502649307,55.034,,3.1319672131147533,7.622371,,,1
 Centrale Hydroéléctrique d'Arrens,42.9474,-0.2179,0.7313886880874634,1.29,-0.65398943,5.8497267759562845,10.982635498046877,,,1
 Valsoera - Telessio,45.487814,7.395236,0.0422192253172397,0.316,,6.014480874316935,14.73137378692627,,,1
????????? ???,68.9717,28.7803,0.3203898966312408,116.366,,1.6830601092896176,2.03722,,,1
?aga? II/Zagan II,51.6154,15.3168,0.3998282849788666,36.573,,1.739071038251367,2.888671,,,1
?apino?/Lapnio,54.2847,18.4482,0.5518960356712341,0.541,,2.0144808743169413,5.373283,,,1
?t?chovice I,49.8465,14.4219,0.1033183708786964,78.643,-0.08909985,2.222131147540985,11.6931734085083,,,1
AGRAS,40.806,22.003,0.3154690563678741,0.999,,2.0177595628415306,7.275915622711182,,,1
ALBARELLOS GRUPO 1,42.4333,-8.1443,0.4888864159584045,3.519,,3.4002732240437146,3.6175456,,,1
ALBESTI,45.216514,24.657876,0.5003271102905273,4.606,,2.1076502732240443,2.0519648,,,1
ARTIES 1,41.798,1.9543,0.1427061706781387,0.532,,2.030054644808744,4.487068,,,1
ASHTA 2,42.011686,19.551942,-0.027698578312993,273.103,0.18178889,4.533606557377048,1.4801355600357056,0.30874038,-0.1192468,1
AZUTAN,39.778999,-5.088,0.1676265299320221,105.751,,1.6775956284153002,3.6759677,,,1
Aall-Ulefoss,59.281502,9.253044,0.3175870478153229,92.487,,3.527049180327868,4.967258930206299,,,1
Aarau stadt,47.394782,8.035875,0.3535011112689972,276.866,,3.227049180327869,5.60109,,,1
Aarberg Aarberg Hydroelectric Power Plant Switzerland - Aarberg Hydroelectric Power Plant Switzerland,47.037852,7.271927,0.3055024445056915,146.815,,3.504371584699455,2.8005269,,,1
Aarewerk thun,46.761683,7.616856,0.4642066359519958,91.05,,3.978688524590163,2.9050891,,,1
Abelvattnet,65.545168,14.981899,0.328351080417633,9.531,,3.147814207650273,3.041833,,,1
Abhainn Gleann Nam Fiadh,56.7839,-4.7711,0.6630412340164185,0.886,,6.453825136612023,5.4537992,,,1
Aboyeu,46.181957,7.033938,0.5548610091209412,158.205,,4.881420765027325,9.600688,,,1
Abwinden-Asten,48.248,14.4305,0.0959189757704734,1556.815,0.19935325,2.4844262295081974,2.6915574073791504,,,1
Acceglio,44.474627,6.990918,0.3353546261787414,1.786,,4.824316939890709,15.05597972869873,,,1
Achanalt,57.6161,-4.8326,0.6903544664382935,9.607,,3.498907103825137,5.209885,,,1
Ackersand,46.240005,7.874576,0.467189610004425,26.448,,4.501639344262296,13.794677,,,1
Acquoria,41.960922,12.798884,0.1396071016788482,12.71,,2.988251366120217,6.188169479370117,,,1
Adamselv,70.409578,26.701878,0.7032191157341003,0.201,,2.1098360655737705,9.92278289794922,,,1
Aegina,46.468174,8.369523,0.5548883080482483,0.523,,4.890163934426227,17.021719,,,1
Agordo,46.285556,12.0375,0.7741735577583313,0.438,,4.451912568306008,12.414326667785645,,,1
Agri,40.289012,16.139079,0.293367475271225,11.575,,1.8904371584699464,11.510627746582031,,,1
Aguayo,43.095804,-4.000656,0.6232481598854065,0.59,,4.830601092896176,13.091834,,,1
Ahvenkoski,60.5,26.5,0.6682572364807129,5.871,-0.6214218,2.107103825136613,2.397224187850952,,,1
Aigas,57.4574,-4.5453,0.4867855012416839,35.429,,3.159562841530056,9.129587,,,1
Aigle AIGLE 6 - L'Aigle Hydroelectric Generating Station France,45.24373,2.22483,0.1762649416923523,83.145,-0.06666761,4.171857923497267,17.13833999633789,,,1
Airolo,46.5285,8.6088,0.1366918981075287,5.968,,5.301092896174864,9.395532,,,1
Aittokoski,64.836458,28.85048,0.5393426418304443,56.195,-0.30971295,2.2259562841530047,2.553752899169922,,,1
Ajaure,65.509167,15.625556,0.104637935757637,109.787,,2.736338797814206,3.2901196,,,1
Akkats Akkats Hydroelectric Power Station Sweden - Akkats Hydroelectric Power Station Sweden,66.631394,19.819811,0.1633450388908386,0.383,,1.9295081967213104,1.6455464,,,1
Ala,45.758995,11.000182,0.4168635606765747,167.514,,4.599999999999998,3.20667028427124,,,1
Alakoski,62.55,29.25,0.7808371782302856,0.59,-0.699093,1.8819672131147536,1.2669116258621216,,,1
Alange,38.78625,-6.270417,0.2002980709075927,7.725,,1.4349726775956286,2.4531684,,,1
Alanno,42.295438,13.971105,0.3805142641067505,0.242,,2.4866120218579244,8.224699020385742,,,1
Alarcon Alarcon Hydroelectric Power Plant Spain - Alarcon Hydroelectric Power Plant Spain,39.565,-2.113056,0.1930367797613144,9.287,,1.4000000000000004,7.9073315,,,1
Albano,46.131588,9.280837,0.486160933971405,1.931,,4.9830601092896165,6.748144626617432,,,1
Albaret-le-Comtal,44.8674,3.1442,0.7820525169372559,0.262,-0.7173393,3.1767759562841555,5.54735803604126,,,1
Albbruck dogern,47.5985,8.171,0.0086923111230134,1004.617,,3.1338797814207644,1.7572458982467651,,,1
Albi Magisano,39.01339,16.6279,0.1901075392961502,0.965,,2.728142076502734,12.8633394241333,,,1
Albignawerk löbbia,46.374952,9.658901,0.2690231502056122,3.136,,4.424863387978143,11.779848,,,1
Aldeadavila,41.209335,-6.686566,0.2921938896179199,313.815,,2.082513661202188,22.736166,,,1
Aleko Aleko Hydroelectric Power Plant Bulgaria - Aleko Hydroelectric Power Plant Bulgaria,42.1194,24.289,0.4738290011882782,0.256,-0.47556168,1.2978142076502734,5.470590114593506,,,1
Aletsch,46.353975,8.04276,0.3927694261074066,0.138,,3.942349726775957,15.075759,,,1
Alexander Stambolyski Hydro Power Site,43.1213,25.171,0.0167178828269243,9.142,0.3791074,1.910109289617486,4.235611915588379,,,1
Alfta,61.341075,16.006847,0.5891901254653931,3.838,,1.94207650273224,2.3263097,,,1
Allement Allement Hydroelectric Power Station France - Allement Hydroelectric Power Station France,46.112,5.422,0.158561885356903,91.396,0.091718614,3.909562841530054,7.1733903884887695,,,1
Allt-na-Lairige,56.307222,-4.86,0.6265080571174622,3.951,,5.990163934426225,8.603409,,,1
Alqueva,38.197508,-7.496394,-0.0141520537436008,144.394,,1.4759562841530058,5.7938204,,,1
Alrance Alrance Hydroelectric Power Station France - Alrance Hydroelectric Power Station France,44.103552,2.694659,0.5165693163871765,0.364,0.40322268,3.023224043715848,1.2567557096481323,,,1
Alt?nkaya Dam,41.3668,35.7244,0.1793292909860611,242.966,,2.654918032786885,11.4601755,,,1
Alta krv,69.717916,23.795677,0.7455658316612244,79.656,,2.143715846994536,11.998614311218262,,,1
Altenmarkt,47.719444,14.672222,0.2987725734710693,102.158,-0.24367896,3.425956284153004,10.282480239868164,,,1
Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,48.374728,15.855343,0.0811712965369224,1880.037,0.2868445,1.992622950819672,2.819120407104492,,,1
Altheim,48.5837,12.2186,0.3756304979324341,160.078,,2.645628415300546,3.028337478637696,,,1
Alto lindoso Alto Lindoso - G1 - Alto Lindoso Hydroelectric Power Plant Portugal,41.872,-8.2025,0.2463902235031128,39.195,,7.028688524590158,10.301375,,,1
Alto rabagão Rabagao - Alto Rabagao Hydroelectric Power Plant Portugal,41.737703,-7.853632,0.4341368079185486,2.811,,4.652732240437159,4.9034204,,,1
Altusried M2,47.817052,10.227499,0.3857878446578979,32.989,,4.016393442622949,6.597603797912598,,,1
Alvadia,41.4564,-7.8103,0.8421962857246399,0.159,,4.784972677595625,12.956833,,,1
Alvito,38.2788,-7.9093,0.4128918051719665,1.314,,1.6765027322404369,3.4821324,,,1
Alzwerke,48.18324,12.85345,0.5289626717567444,165.643,,3.2691256830601074,6.370838165283203,,,1
Am löntsch,47.056638,9.049115,0.5318524837493896,3.836,,6.9210382513661175,4.8664346,,,1
Amsteg,46.76676,8.672923,0.6752674579620361,4.828,,5.454918032786887,20.89723,,,1
Anapo c.le UP_ANAPO_C.L_1 - Anapo Pumped Storage Power Plant Italy,37.115761,15.137157,0.2080556452274322,0.968,,1.025409836065574,6.516382217407227,,,1
Andakíl,64.5386,-21.695,0.452789694070816,8.356,,3.953825136612021,5.045880317687988,,,1
"Andonno c,",44.314628,7.482432,0.3025456666946411,3.76,,4.619945355191256,7.686151504516602,,,1
Andåsfossen,65.822425,13.259879,0.6719282865524292,3.882,,6.116120218579233,10.90086555480957,,,1
Anjalankoski,60.698333,26.816111,0.1264066845178604,225.707,-0.14796565,2.100546448087432,2.9335386753082275,,,1
Anjan,63.6833,12.6333,0.5917938351631165,6.984,,3.032513661202185,5.1341014,,,1
Annabrücke Annabruecke Hydroelectric Power Plant Austria - Annabruecke Hydroelectric Power Plant Austria,46.561407,14.479829,0.1787164360284805,158.756,-0.06588708,3.2650273224043733,7.133504867553711,,,1
Aragnouet,42.7845,0.1782,0.7541902661323547,0.347,-0.6840505,3.913114754098362,17.79787254333496,,,1
Arbon ARBON 1 - ArbonHydroelectric Power Plant Spain,43.477229,-6.730199,0.5026339292526245,0.114,,4.310655737704917,11.89515,,,1
Arbéost,42.9795,-0.2738,0.7230313420295715,0.37,-0.67204356,5.883333333333328,13.881699562072754,,,1
Arcambal,44.4548,1.5482,0.6259632110595703,1.312,-0.57514304,3.00464480874317,6.297688484191895,,,1
Arcesti,44.449583,24.312917,-0.0212136339396238,144.072,,1.2043715846994538,1.1950189,,,1
