name,latitude,longitude,mndwi
ASHTA 2,42.01168611,19.55194167,-0.1192468
Banja / Banjë,40.96,20.068,-0.020671342
Bele 1/2,42.06903611,20.46006667,-0.26628995
Bishnica 1/2,39.9169,20.1374,-0.4636057
Bistrica 1,39.9116,20.1047,-0.49258676
Cernaleve 1/2,42.02941667,20.55555278,-0.45973125
Fangu,41.705833,19.770278,-0.259832
Fierza,42.2514,20.0431,-0.0219111
Ftere 1,40.11119167,19.87758889,-0.49302042
Holta,40.92728056,20.22091667,-0.47305313
Koman,42.1033,19.8224,-0.2864809930324554
Lanabregas,41.3428,19.8964,-0.4565133154392242
Langarica 1/2/3,40.3098,20.47698056,-0.4789560437202453
Lenie,40.76601389,20.39604444,-0.4987474679946899
Lura 1/3,41.81460833,20.21796944,-0.3990332782268524
Moglicë,40.6939862,20.439501,-0.2586954236030578
Oresheke,42.02874167,20.53076389,-0.4152339398860931
Peshqesh,41.705833,19.770278,-0.2598319947719574
Pobreg,42.085925,19.79325278,-0.5006325244903564
Prelle,41.69380833,20.0131694,-0.5010766386985779
Qarrishta 1,41.21956111,20.30383333,-0.4150407314300537
Rajan 1/2,40.26653611,20.52168611,-0.3601742684841156
Shkalle,41.579025,20.12165833,-0.4383528232574463
Shkopet,41.6796,19.8305,-0.5716448426246643
Sllabinje,40.96899722,20.51337222,-0.4526042342185974
Stravaj 2,41.0057,20.425,-0.4815531373023987
Topojan 1/2,41.98756111,20.52793889,-0.4345612227916717
Ulez,41.6796,19.8936,-0.0018201110651716
Vau i Dijes,42.0137,19.6359,-0.2987551987171173
Vlushe,40.506225,20.310079,-0.4425251483917236
Argel,40.3786,44.6069,-0.4057755470275879
Arzni,40.2968,44.5875,-0.4183059930801391
Harzdan,40.5078,44.7606,-0.3779605627059936
Qanaqer HPP,40.2226,44.5134,-0.403308093547821
Sevan,40.5522,44.9513,-0.4044718444347381
Shamb,39.4743,46.1306,-0.3825525045394897
Spandaryan,39.6494,45.85,-0.3130748569965362
Tatev,39.3956,46.2578,-0.4278972744941711
Yerevan-1 HPP,40.191,44.484,-0.4113043844699859
Yerevan-3 HPP,40.1642,44.5009,-0.382801353931427
Abwinden-Asten,48.248,14.4305,0.2471818774938583
Altenmarkt,47.71944444,14.67222222,-0.2156071215867996
Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,48.374728,15.855343,0.252814769744873
Annabrücke Annabruecke Hydroelectric Power Plant Austria - Annabruecke Hydroelectric Power Plant Austria,46.561407,14.479829,-0.0632903575897216
Arnstein,47.0167,15.1667,-0.5225338339805603
Aschach,48.3853,14.023,0.2912100851535797
Bischofshofen,47.407,13.2205,-0.0218456964939832
Bodendorf mur,47.107688,14.065071,-0.2476651817560196
Bodendorf paal,47.107717,14.065156,-0.2518004775047302
Braunau-Simbach,48.244,13.006,0.77361661195755
Brennerwerk-M1,47.126999,11.453,-0.2027734518051147
Bärenwerk,47.2166667,12.8166667,-0.4490813612937927
Böckstein,47.79940564,13.04399014,-0.1793854385614395
Bösdornau Boesdornau-KW - Boesdornau Hydroelectric Power Plant Austria,47.15192,11.833298,-0.3460191786289215
Debant_1-M1,48.257999,16.389999,-0.3655003309249878
Dießbach,47.5166667,12.8333333,-0.468944102525711
Dionysen,47.41,15.214,-0.4610385596752167
Dorferbach-KW,47.02,12.362,-0.3418937623500824
Edling Edling-KW - Edling Hydroelectric Power Plant Austria,46.628959,14.701371,0.0767597109079361
Ering-Frauenstein,48.29207045,13.1589383,-0.3820555508136749
Feistritz-Ludmannsdorf,46.5347,14.1712,0.0078668883070349
Feldkirchen,46.8638,13.3355,-0.2249008119106292
Feldsee Kraftwerk Feldsee - Feldsee Pumped Storage Power Plant Austria,46.9985746,13.0418733,0.288886547088623
Ferlach Maria Rain,46.5462,14.2985,0.0057972534559667
Fisching,47.1743,14.723143,-0.3982204496860504
Friesach,47.186513,15.336014,-0.060415644198656
Funsingau,47.2354,12.0583,-0.3773627877235412
Gabersdorf,46.7772,15.5842,-0.41972616314888
Gaming,48.1766,16.4813,0.298417329788208
Gamp,47.6833333,13.1,-0.3165772259235382
"Garsten st, ulrich",48.018488,14.411714,-0.0614075064659118
Gemeinschaftskraftwerk inn,47.062954,10.662868,-0.4039893448352813
Gerlos,47.2342,11.8997,-0.3860918581485748
Gmuend-Speicher,47.932999,13.797,-0.3118603527545929
Gralla,46.828285,15.566222,-0.0089362552389502
Gratkorn,47.1333,15.35,-0.439836323261261
Graz puntigam,47.039749,15.442537,-0.068362757563591
Greifenstein,48.3553,16.2424,0.0873130187392234
Gries,47.287673,12.885052,-0.2449419647455215
