name,latitude,longitude,ndbi
ASHTA 2,42.01168611,19.55194167,0.30874038
Banja / Banjë,40.96,20.068,0.33673292
Bele 1/2,42.06903611,20.46006667,0.00078614504
Bishnica 1/2,39.9169,20.1374,-0.16523579
Bistrica 1,39.9116,20.1047,-0.06187804
Cernaleve 1/2,42.02941667,20.55555278,-0.13311225
Fangu,41.705833,19.770278,-0.056490082
Fierza,42.2514,20.0431,0.49251923
Ftere 1,40.11119167,19.87758889,-0.15780342
Holta,40.92728056,20.22091667,-0.09968966
Koman,42.1033,19.8224,0.1070969
Lanabregas,41.3428,19.8964,-0.08016463
Langarica 1/2/3,40.3098,20.47698056,0.030606173
Lenie,40.76601389,20.39604444,-0.21635474
Lura 1/3,41.81460833,20.21796944,-0.06457559
Moglicë,40.6939862,20.439501,0.13684605
Oresheke,42.02874167,20.53076389,-0.10507516
Peshqesh,41.705833,19.770278,-0.056490082
Pobreg,42.085925,19.79325278,-0.20320244
Prelle,41.69380833,20.0131694,-0.117811546
Qarrishta 1,41.21956111,20.30383333,-0.118042715
Shkalle,41.579025,20.12165833,-0.0120314285
Shkopet,41.6796,19.8305,-0.17949013
Sllabinje,40.96899722,20.51337222,-0.12322683
Stravaj 2,41.0057,20.425,-0.16714092
Topojan 1/2,41.98756111,20.52793889,-0.08823397
Ulez,41.6796,19.8936,0.21548745
Vau i Dijes,42.0137,19.6359,0.1680429
Vlushe,40.506225,20.310079,-0.04910237
Argel,40.3786,44.6069,-0.02824899
Arzni,40.2968,44.5875,-0.06932677
Harzdan,40.5078,44.7606,-0.051253058
Qanaqer HPP,40.2226,44.5134,-0.13044192
Sevan,40.5522,44.9513,-0.06362748
Shamb,39.4743,46.1306,0.021591702
Spandaryan,39.6494,45.85,0.053024255
Tatev,39.3956,46.2578,-0.02721218
Yerevan-1 HPP,40.191,44.484,-0.028869605
Yerevan-3 HPP,40.1642,44.5009,-0.14069235
Abwinden-Asten,48.248,14.4305,-0.07352395
Altenmarkt,47.71944444,14.67222222,-0.046405144
Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria,48.374728,15.855343,0.037362047
Annabrücke Annabruecke Hydroelectric Power Plant Austria - Annabruecke Hydroelectric Power Plant Austria,46.561407,14.479829,-0.007882228
Arnstein,47.0167,15.1667,-0.3038277
Aschach,48.3853,14.023,-0.06260431
Bischofshofen,47.407,13.2205,-0.117815636
Bodendorf mur,47.107688,14.065071,-0.15910465
Bodendorf paal,47.107717,14.065156,-0.16089743
Braunau-Simbach,48.244,13.006,-0.47363642
Brennerwerk-M1,47.126999,11.453,0.012943889
Bärenwerk,47.2166667,12.8166667,-0.2259808
Böckstein,47.79940564,13.04399014,0.11635412
Bösdornau Boesdornau-KW - Boesdornau Hydroelectric Power Plant Austria,47.15192,11.833298,-0.13484795
Debant_1-M1,48.257999,16.389999,-0.0016219376
Dießbach,47.5166667,12.8333333,-0.19075477
Dionysen,47.41,15.214,-0.17594613
Dorferbach-KW,47.02,12.362,-0.23609449
Edling Edling-KW - Edling Hydroelectric Power Plant Austria,46.628959,14.701371,-0.017465891
Ering-Frauenstein,48.29207045,13.1589383,-0.12411738
Feistritz-Ludmannsdorf,46.5347,14.1712,0.034136377
Feldkirchen,46.8638,13.3355,0.00012509308
Feldsee Kraftwerk Feldsee - Feldsee Pumped Storage Power Plant Austria,46.9985746,13.0418733,0.16768163
Ferlach Maria Rain,46.5462,14.2985,0.0070940237
Fisching,47.1743,14.723143,-0.27112865
Friesach,47.186513,15.336014,-0.0898349
Funsingau,47.2354,12.0583,-0.23624101
Gabersdorf,46.7772,15.5842,-0.11542874
Gaming,48.1766,16.4813,-0.09463297
Gamp,47.6833333,13.1,0.028642807
"Garsten st, ulrich",48.018488,14.411714,0.025418252
Gemeinschaftskraftwerk inn,47.062954,10.662868,-0.27389398
Gerlos,47.2342,11.8997,-0.079941526
