name,latitude,longitude,slope_degrees
ASHTA 2,42.01168611,19.55194167,1.4801355600357056
Banja / Banjë,40.96,20.068,8.528314590454102
Bele 1/2,42.06903611,20.46006667,7.226442813873291
Bishnica 1/2,39.9169,20.1374,12.60841941833496
Bistrica 1,39.9116,20.1047,3.6164917945861816
Cernaleve 1/2,42.02941667,20.55555278,17.46257781982422
Fangu,41.705833,19.770278,5.334288120269775
Fierza,42.2514,20.0431,14.879828453063965
Ftere 1,40.11119167,19.87758889,14.359068870544434
Holta,40.92728056,20.22091667,18.999589920043945
Koman,42.1033,19.8224,13.712347030639648
Lanabregas,41.3428,19.8964,11.753612518310549
Langarica 1/2/3,40.3098,20.47698056,11.841280937194824
Lenie,40.76601389,20.39604444,8.795196533203125
Lura 1/3,41.81460833,20.21796944,6.724792957305908
Moglicë,40.6939862,20.439501,16.577552795410156
Oresheke,42.02874167,20.53076389,21.060365676879883
Peshqesh,41.705833,19.770278,5.334288120269775
Pobreg,42.085925,19.79325278,13.13138484954834
Prelle,41.69380833,20.0131694,8.744125366210938
Qarrishta 1,41.21956111,20.30383333,6.898138999938965
Rajan 1/2,40.26653611,20.52168611,7.892684936523437
Shkalle,41.579025,20.12165833,11.281977653503418
Shkopet,41.6796,19.8305,16.82013511657715
Sllabinje,40.96899722,20.51337222,11.65379810333252
Stravaj 2,41.0057,20.425,11.89987850189209
Topojan 1/2,41.98756111,20.52793889,15.924665451049805
Ulez,41.6796,19.8936,9.373855590820312
Vau i Dijes,42.0137,19.6359,5.727286338806152
Vlushe,40.506225,20.310079,11.824057579040527
Argel,40.3786,44.6069,11.832664489746094
Arzni,40.2968,44.5875,6.002432346343994
Harzdan,40.5078,44.7606,7.349320888519287
Qanaqer HPP,40.2226,44.5134,10.518877983093262
Sevan,40.5522,44.9513,3.359621047973633
Shamb,39.4743,46.1306,11.759124755859377
Spandaryan,39.6494,45.85,9.725135803222656
Tatev,39.3956,46.2578,14.345881462097168
